#6 C:\xampp\htdocs\patrimonio\lib\adianti\core\AdiantiCoreApplication.php(82): call_user_func(Array, Array)
#7 C:\xampp\htdocs\patrimonio\engine.php(43): Adianti\Core\AdiantiCoreApplication::run('0')
#8 C:\xampp\htdocs\patrimonio\engine.php(100): TApplication::run()
#9 {main}

Next PDOException: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo failed: Este host n�o � conhecido.  in C:\xampp\htdocs\patrimonio\lib\adianti\database\TConnection.php:116
Stack trace:
#0 C:\xampp\htdocs\patrimonio\lib\adianti\database\TConnection.php(116): PDO->__construct('mysql:host=Cont...', '', '', Array)
#1 C:\xampp\htdocs\patrimonio\lib\adianti\database\TConnection.php(47): Adianti\Database\TConnection::openArray(Array)
#2 C:\xampp\htdocs\patrimonio\lib\adianti\database\TTransaction.php(63): Adianti\Database\TConnection::open('log')
#3 C:\xampp\htdocs\patrimonio\app\service\log\SystemAccessLogService.class.php(59): Adianti\Database\TTransaction::open('log')
#4 C:\xampp\htdocs\patrimonio\app\control\admin\LoginForm.php(371): SystemAccessLogService::registerLogout()
#5 [internal function]: LoginForm::onLogout(Array)
#6 C:\xampp\htdocs\patrimonio\lib\adianti\core\AdiantiCoreApplication.php(82): call_user_func(Array, Array)
#7 C:\xampp\htdocs\patrimonio\engine.php(43): Adianti\Core\AdiantiCoreApplication::run('0')
#8 C:\xampp\htdocs\patrimonio\engine.php(100): TApplication::run()
#9 {main}
  thrown in C:\xampp\htdocs\patrimonio\lib\adianti\database\TConnection.php on line 116
[08-Aug-2024 13:55:24 America/Sao_Paulo] PHP Parse error:  syntax error, unexpected token ",", expecting identifier or variable or "{" or "$" in C:\xampp\htdocs\patrimonio\app\control\geral\MovimentacaodepreciacaoReport.php on line 239
[08-Aug-2024 13:57:23 America/Sao_Paulo] PHP Warning:  Undefined variable $id in C:\xampp\htdocs\patrimonio\app\control\geral\MovimentacaodepreciacaoReport.php on line 35
[08-Aug-2024 14:17:26 America/Sao_Paulo] PHP Parse error:  syntax error, unexpected token ",", expecting identifier or variable or "{" or "$" in C:\xampp\htdocs\patrimonio\app\control\geral\MovimentacaodepreciacaoReport.php on line 242
[08-Aug-2024 14:17:33 America/Sao_Paulo] PHP Parse error:  syntax error, unexpected single-quoted string "left", expecting identifier or variable or "{" or "$" in C:\xampp\htdocs\patrimonio\app\control\geral\MovimentacaodepreciacaoReport.php on line 242
[12-Aug-2024 07:52:42 America/Sao_Paulo] PHP Parse error:  Unclosed '{' on line 22 does not match ')' in C:\xampp\htdocs\patrimonio\app\control\geral\CentrodecustoList.php on line 88
[12-Aug-2024 09:39:34 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 09:51:14 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 09:51:28 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 09:51:56 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 09:52:04 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 09:53:52 America/Sao_Paulo] PHP Warning:  Undefined array key "Leitor" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 09:54:01 America/Sao_Paulo] PHP Warning:  Undefined array key "" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 09:54:09 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 09:55:08 America/Sao_Paulo] PHP Warning:  Undefined array key "class=Leitor&method=onShow" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 09:55:12 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 09:55:30 America/Sao_Paulo] PHP Warning:  Undefined array key "Patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 09:55:36 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 09:57:43 America/Sao_Paulo] PHP Parse error:  syntax error, unexpected token ";", expecting "function" or "const" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 19
[12-Aug-2024 09:58:21 America/Sao_Paulo] PHP Parse error:  Unmatched '}' in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 66
[12-Aug-2024 09:58:29 America/Sao_Paulo] PHP Parse error:  Unmatched '}' in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 58
[12-Aug-2024 09:58:36 America/Sao_Paulo] PHP Parse error:  Unmatched '}' in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 52
[12-Aug-2024 09:58:48 America/Sao_Paulo] PHP Fatal error:  Uncaught ReflectionException: Class "Leitor" does not exist in C:\xampp\htdocs\patrimonio\lib\adianti\core\AdiantiCoreApplication.php:59
Stack trace:
#0 C:\xampp\htdocs\patrimonio\lib\adianti\core\AdiantiCoreApplication.php(59): ReflectionClass->__construct('Leitor')
#1 C:\xampp\htdocs\patrimonio\engine.php(43): Adianti\Core\AdiantiCoreApplication::run('0')
#2 C:\xampp\htdocs\patrimonio\engine.php(100): TApplication::run()
#3 {main}
  thrown in C:\xampp\htdocs\patrimonio\lib\adianti\core\AdiantiCoreApplication.php on line 59
[12-Aug-2024 09:59:50 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 10:00:02 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 10:00:12 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 10:00:17 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 10:00:36 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 10:15:59 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 10:16:28 America/Sao_Paulo] PHP Parse error:  syntax error, unexpected identifier "patrimonio", expecting ";" or "{" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 17
[12-Aug-2024 10:16:53 America/Sao_Paulo] PHP Parse error:  syntax error, unexpected identifier "patrimonio", expecting ";" or "{" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 17
[12-Aug-2024 10:17:10 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 10:17:18 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 10:19:05 America/Sao_Paulo] PHP Parse error:  syntax error, unexpected token "??" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 10:19:10 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
